AmplitudeBandWidth;AmplitudeMean;NumberOverload;NumberUnderloads;StabilizationTime
0.582;0.354;0;0;3214
0.204;0.102;0;0;4415
0.572;0.324;0;0;3245
0.262;0.11;0;0;4103
7.523;2.256;0;0;3214
0.438;0.184;0;0;3214
0.352;0.144;0;0;4462
0.533;0.288;0;0;3214
0.527;0.24;0;0;3230
0.527;0.24;0;0;4447
0.133;0.086;0;0;4447
0.562;0.312;0;0;3370
0.22;0.11;0;0;3183
0.593;0.242;0;0;4119
0.744;0.426;0;0;3214
0.432;0.204;0;0;4072
0.867;0.5;0;0;4119
1.018;0.514;0;0;3230
0.493;0.202;0;0;3199
0.314;0.146;0;0;3199
0.401;0.178;0;0;4478
0.512;0.292;0;0;4462
0.543;0.318;0;0;4478
0.568;0.332;0;0;4384
0.576;0.324;0;0;3230
0.389;0.158;0;0;3230
0.495;0.518;0;0;3011
5.298;2.29;0;0;4072
0.358;0.236;0;0;4587
0.28;0.124;0;0;3214
1.731;1.654;0;0;3011
6.229;2.586;0;0;3386
4.734;2.09;0;0;3183
0.433;0.18;0;0;3386
0.306;0.216;0;0;5835
0.89;0.516;0;0;3214
0.323;0.136;0;0;3245
0.334;0.138;0;0;4103
0.386;0.238;0;0;4603
0.194;0.1;0;0;3386
0.166;0.092;0;0;4103
0.805;0.466;0;0;3339
0.403;0.166;0;0;4431
0.697;0.344;0;0;3230
0.223;0.106;0;0;3214
0.191;0.09;0;0;4119
0.858;0.502;0;0;3386
0.279;0.12;0;0;3214
0.161;0.08;0;0;3183
0.33;0.138;0;0;3417
0.122;0.066;0;0;3230
0.154;0.1;0;0;3245
0.339;0.146;0;0;4478
0.934;0.364;0;0;3386
0.246;0.12;0;0;3214
4.89;2.116;0;0;4088
0.88;0.506;0;0;4447
0.497;0.294;0;0;3214
0.246;0.124;0;0;3214
0.132;0.086;0;0;3230
0.202;0.104;0;0;3401
0.158;0.09;0;0;3214
0.31;0.126;0;0;3245
4.642;2.034;0;0;3199
0.171;0.1;0;0;4088
0.924;0.504;0;0;3214
0.871;0.698;0;0;3027
0.28;0.178;0;0;4509
0.519;0.294;0;0;4088
0.952;0.546;0;0;3214
0.155;0.072;0;0;4072
0.155;0.432;0;0;4072
0.745;0.432;0;0;4462
0.562;0.312;0;0;3183
0.227;0.102;0;0;3167
0.124;0.074;0;0;4088
0.826;0.494;0;0;3401
6.697;2.244;0;0;3401
0.153;0.09;0;0;4431
0.605;0.352;0;0;3230
1.31;1.032;0;0;3011
0.411;0.26;0;0;3261
2.781;2.366;0;0;3011
0.197;0.138;0;0;3011
0.508;0.296;0;0;3230
